Library Part Name,Description,Quantity,Manufacturer,Manufacturer Part Number,Distributor,Distributor Part Number,Unit Price (USD),Package,Socket Manufacturer,Socket Manufacturer Part Number,Socket Distributor,Socket Distributor Part Number,Socket Unit Price (USD)
RAM,IC EEPROM 64KBIT PARALLEL 28DIP,1,Microchip Technology,AT28C64B-15PU,DigiKey,AT28C64B-15PU-ND,5.67,"28-DIP (0.600"", 15.24mm)",Mill-Max,123-93-628-41-001000,DigiKey,ED4628-ND,8.35
74244,IC BUF NON-INVERT 5.5V 20DIP,7,Texas Instruments,CD74HCT244E,DigiKey,296-2104-5-ND,0.91,"20-DIP (0.300"", 7.62mm)",Preci-Dip,123-83-320-41-001101,DigiKey,123-83-320-41-001101-ND,3.8
74240,IC BUFFER INVERT 5.5V 20DIP,1,Texas Instruments,SN74HCT240N,DigiKey,296-8399-5-ND,0.89,"20-DIP (0.300"", 7.62mm)",Preci-Dip,123-83-320-41-001101,DigiKey,123-83-320-41-001101-ND,3.8
74241,IC BUF NON-INVERT 5.5V 20DIP,2,Texas Instruments,CD74HCT241E,DigiKey,296-2144-5-ND,1.07,"20-DIP (0.300"", 7.62mm)",Preci-Dip,123-83-320-41-001101,DigiKey,123-83-320-41-001101-ND,3.8
74273,IC FF D-TYPE SNGL 8BIT 20DIP,6,Texas Instruments,SN74HCT273N,DigiKey,296-1613-5-ND,0.89,"20-DIP (0.300"", 7.62mm)",Preci-Dip,123-83-320-41-001101,DigiKey,123-83-320-41-001101-ND,3.8
74138,IC DECODER/DEMUX 1X3:8 16DIP,1,Texas Instruments,SN74HCT138N,DigiKey,296-1608-5-ND,0.84,"16-DIP (0.300"", 7.62mm)",Preci-Dip,123-87-316-41-001101,DigiKey,1212-1070-ND,2.51
74283,IC BIN FULL 4BIT ADD W/CAR 16DIP,2,Texas Instruments,CD74HCT283E,DigiKey,296-33143-5-ND,0.97,"16-DIP (0.300"", 7.62mm)",Preci-Dip,123-87-316-41-001101,DigiKey,1212-1070-ND,2.51
74163,IC BINARY COUNTER 4-BIT 16DIP,2,Texas Instruments,CD74HCT163E,DigiKey,296-12833-5-ND,0.99,"16-DIP (0.300"", 7.62mm)",Preci-Dip,123-87-316-41-001101,DigiKey,1212-1070-ND,2.51
74139,IC DECODER/DEMUX 1X2:4 16DIP,1,Texas Instruments,CD74HCT139E,DigiKey,296-2092-5-ND,0.55,"16-DIP (0.300"", 7.62mm)",Preci-Dip,123-87-316-41-001101,DigiKey,1212-1070-ND,2.51
7402,IC GATE NOR 4CH 2-INP 14DIP,1,Texas Instruments,CD74HCT02E,DigiKey,296-2082-5-ND,0.61,"14-DIP (0.300"", 7.62mm)",Preci-Dip,123-87-314-41-001101,DigiKey,1212-1069-ND,2.2
7408,IC GATE AND 4CH 2-INP 14DIP,3,Texas Instruments,SN74HCT08N,DigiKey,296-1606-5-ND,0.69,"14-DIP (0.300"", 7.62mm)",Preci-Dip,123-87-314-41-001101,DigiKey,1212-1069-ND,2.2
7486,IC GATE XOR 4CH 2-INP 14DIP,2,Texas Instruments,CD74HCT86E,DigiKey,296-2133-5-ND,0.87,"14-DIP (0.300"", 7.62mm)",Preci-Dip,123-87-314-41-001101,DigiKey,1212-1069-ND,2.2
